subject,topic_rows,aggregate_wrong_total,raw_events_matched,event_coverage_pct,metadata_present_pct,possibleErrorPatterns_pct,skillId_pct,subskillId_pct,taxonomyIds_pct,subskill_eligible_rows,subskill_candidate_rows,missing_metadata_rows,blockers
math,12,250,250,100,100,100,100,100,100,11,11,0,{"weak_taxonomy":1}
geometry,11,164,164,100,91,91,91,91,91,9,9,0,{"no_taxonomy_match":1,"weak_taxonomy":1}
english,9,378,378,100,100,100,100,100,100,9,9,0,{}
science,12,364,364,100,100,100,100,100,100,12,12,0,{}
hebrew,12,289,289,100,100,100,100,100,100,10,10,0,{"no_taxonomy_match":1,"weak_taxonomy":1}
moledet-geography,8,85,85,100,100,100,100,100,100,7,7,0,{"weak_taxonomy":1}
